cand_name,complete_text
Kadiatou DIALLO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Kadiatou DIALLO Profil des personnes candidates Icons/ArrowRetour à la liste Kadiatou DIALLO Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Cecil-P.-Newman courriel Présentation de la personne candidate Je m’appelle Kadiatou Diallo, originaire de la République de Guinée vivant au Canada/Québec depuis plus de 20 ans où j’élève mes deux belles filles. Je suis particulièrement attentive aux questions d’équité, de la diversité et de l’inclusion. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite représenter les Montréalais.es parce que je crois en la richesse que comporte notre ville. Je veux être la voix des sans-voix et continuer à bâtir une ville plus juste et inclusive. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? C’est d’abord connaitre les préoccupations quotidiennes afin de pouvoir agir pour trouver des solutions concrètes. Quelles sont les deux principales priorités de la personne candidate? Logements abordables Mobilité et transport, la sécurité, accès aux services de proximité. Quel est le lieu préféré de la personne candidate à Montréal? Mont-Royal, Vieux Port, Canal de Lachine Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Miguel-Angel DIAZ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Miguel-Angel DIAZ Profil des personnes candidates Icons/ArrowRetour à la liste Miguel-Angel DIAZ Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Darlington courriel Présentation de la personne candidate Je suis une personne d'esprit ouvert et très sociable, qui aime cette ville et souhaite y contribuer pleinement. Mon objectif est d'apporter mon énergie, mon écoute et mes compétences pour aider les communautés et améliorer la qualité de vie de tous. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je veux représenter les Montréalais-es pour défendre une ville plus inclusive, durable et humaine. Mon objectif est de donner une voix forte aux citoyens et de bâtir une métropole plus solidaire et équitable. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En améliorant le transport collectif, en rendant les rues plus sécuritaires, en créant davantage d'espaces verts et en soutenant les familles, les jeunes et les aînés afin que Montréal soit agréable pour tous. Quelles sont les deux principales priorités de la personne candidate? Sécurité, logement abordable et inclusion sociale. Transport collectif et mobilité durable. Quel est le lieu préféré de la personne candidate à Montréal? Le Mont-Royal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Amine DIFALLAH,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Amine DIFALLAH Profil des personnes candidates Icons/ArrowRetour à la liste Amine DIFALLAH Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Marie-Clarac facebook courriel Présentation de la personne candidate Fort de 10+ ans d’expérience en intelligence d'affaires, j’ai accompagné diverses organisations dans l’analyse et la prise de décisions stratégiques. Président de Projet DZ, je mène des initiatives citoyennes axées sur la solidarité, l’innovation et le développement durable. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite représenter les Montréalais-es pour défendre une ville plus inclusive, durable et solidaire. Fort de mon engagement citoyen, je veux contribuer à des solutions concrètes aux enjeux sociaux, économiques et environnementaux. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je souhaite améliorer la qualité de vie à Montréal en renforçant l’accès au logement abordable, en soutenant la transition écologique, et en favorisant l’innovation sociale, la mobilité durable et la participation citoyenne active. Quelles sont les deux principales priorités de la personne candidate? Logement, sécurité, innovation sociale, mobilité durable et inclusion citoyenne. Quel est le lieu préféré de la personne candidate à Montréal? Parc Henri Bourassa, un poumon vert de MTL-Nord. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Raymonde DJABIA GOMIS,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Raymonde DJABIA GOMIS Profil des personnes candidates Icons/ArrowRetour à la liste Raymonde DJABIA GOMIS Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Cecil-P.-Newman site courriel Présentation de la personne candidate Raymonde Djabia Gomis est coach en développement personnel, entrepreneure sociale, conférencière et auteure. Survivante de trois cancers, elle incarne la résilience et l’engagement, qu’elle met au service de sa communauté à LaSalle depuis 14 ans. Maman de quatre enfant. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je me présente car je crois que la politique doit se faire au plus près des citoyennes et citoyens. Mon parcours m’a appris que l’écoute, la solidarité et l’action collective sont les clés pour bâtir un arrondissement qui reflète ses résident·e·s. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En travaillant à augmenter le sentiment de sécurité de manière inclusive, notamment en concevant des espaces publics mieux éclairés, Quelles sont les deux principales priorités de la personne candidate? Concevoir les espaces pour réduire les risques de criminalité et qui favorisent la mixité Quel est le lieu préféré de la personne candidate à Montréal? Le canal Lachine Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Princilia DJOMBO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Princilia DJOMBO Profil des personnes candidates Icons/ArrowRetour à la liste Princilia DJOMBO Ensemble Montréal - Équipe Soraya Conseillère ou conseiller d'arrondissement Saint-Paul - Émard - Saint-Henri-Ouest Présentation de la personne candidate Active depuis plus de dix ans dans le milieu communautaire, Princilia Djombo est une femme profondément engagée, motivée par la justice sociale, l’inclusion et le bien-être collectif. Arrivée au Québec à l’âge de 15 ans, elle est aujourd’hui une fière Montréalaise qui consacre son énergie à bâtir des ponts entre les cultures et à soutenir Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Améliorer la circulation et la sécurité routière afin de rendre les déplacements plus fluides. Développer plus de logements sociaux et abordables dans le secteur de Bridge-Bonaventure. Quel est le lieu préféré de la personne candidate à Montréal? Sud-Ouest Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Anh Khoi DO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Anh Khoi DO Profil des personnes candidates Icons/ArrowRetour à la liste Anh Khoi DO Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Ahuntsic x instagram Présentation de la personne candidate Je m'appelle Anh Khoi. Je suis un bachelier en histoire de l'Université de Montréal et un programmeur informatique. J'aime les arts martiaux, le dessin et la peinture à l'huile. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? J'aime Montréal. Je veux mettre à profit mes connaissances en urbanisme et en logement. Je suis aussi le pire cauchemar des NIMBYS. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je veux implanter des règlements sur la construction de plein droit. Il faut augmenter l'offre de logements afin d'exercer une pression baissière sur le loyer et le prix d'achat des logements. Quelles sont les deux principales priorités de la personne candidate? Simplifier la construction de logements privés, publics et coopératifs Favoriser le zonage mixte afin de permettre le coexistence de commerces et de résidences. Quel est le lieu préféré de la personne candidate à Montréal? Le Musée des beaux-arts de Montréal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Alex DOUILLARD,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Alex DOUILLARD Profil des personnes candidates Icons/ArrowRetour à la liste Alex DOUILLARD Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller de ville Bordeaux-Cartierville facebook courriel Présentation de la personne candidate C'est avec beaucoup de fierté que je me présente comme conseiller dans Ahuntsic-Cartierville. Un quartier que j'habite depuis 36 ans. Ahuntsic-Cartierville, c'est bien plus qu'un lieu de résidence pour moi, c'est là où j'ai grandi, où j'ai vu nos enfants jouer dans les parcs où j'ai tissé des liens solides avec mes voisins, commerçants et organisme Pourquoi la personne candidate souhaite représenter les Montréalais(es)? En tant que conseiller, je veux être à l'écoute de vos préoccupations, porter votre voix et contribuer à faire évoluer notre quartier dans le respect. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Une ville connecté et unie, où chaque famille puisse se promener dans des espaces publiques en sécurité et harmonie. Rendre aux citoyens le joyeux qu'était Montréal. Quelles sont les deux principales priorités de la personne candidate? Travaux publics - stationnement, vignettes, pistes cyclables Sécurité, propreté, augmentation de parc immobilier Quel est le lieu préféré de la personne candidate à Montréal? Parc de la Merci, île de la Visitation, Ahuntsic-Cartierville Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Sterling DOWNEY,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Sterling DOWNEY Profil des personnes candidates Icons/ArrowRetour à la liste Sterling DOWNEY Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Desmarchais-Crawford linkedIn x facebook instagram courriel Présentation de la personne candidate Élu depuis 2013, Sterling est conseiller municipal sortant. Né et élevé à Verdun, il habite encore la maison familiale de trois générations. Fils d’un vétéran de la Seconde Guerre mondiale, sportif impliqué et réserviste dans les FAC, il élève son fils à Crawford Park. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Sterling veut continuer à servir sa communauté et Montréal, pour que les générations futures héritent d’une ville dont elles seront fières, en honorant son histoire, ses besoins, et en veillant à ce que chacun ait une voix dans notre démocratie. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Il améliorera la qualité de vie des Montréalais en rendant les quartiers plus sûrs, en protégeant les parcs, en soutenant jeunes et familles, en investissant dans la culture, en améliorant transports et infrastructures, et en donnant voix à tous. Quelles sont les deux principales priorités de la personne candidate? Habitation Itinérance Jeunesse Sports Culture Vétérans Démocratie AU Sécurité Gestion Animalière Quel est le lieu préféré de la personne candidate à Montréal? Les berges de Verdun et le fleuve. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Sarah V. DOYON,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Sarah V. DOYON Profil des personnes candidates Icons/ArrowRetour à la liste Sarah V. DOYON Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Hochelaga linkedIn facebook instagram site courriel Présentation de la personne candidate Je cumule plus de 15 ans d’expérience en mobilisation et gestion d’organismes communautaires. J'ai mené des actions d’envergure et bâti des alliances fortes avec divers partenaires afin de faire avancer la cause des transports collectifs et la lutte aux changements climatiques. Je suis maman de deux filles et je suis diplômée en science politique. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite mettre mon leadership et mon énergie au service d’un milieu de vie plus accessible et sécuritaire, plus propre et plus vert, plus fier. Un quartier ou tout le monde a sa place, ou toute le monde se sent bien. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je souhaite améliorer les services de transport en commun, apaiser nos rues locales pour qu'elles soient sécuritaires, rénover nos parcs et verdir nos places publiques pour rendre notre ville plus résiliente face aux changements climatiques. Quelles sont les deux principales priorités de la personne candidate? Propreté, sécurité routière, verdissement, lutte à l'itinérance Quel est le lieu préféré de la personne candidate à Montréal? Bibliothèque Maisonneuve Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Marie Josée DUBÉ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Marie Josée DUBÉ Profil des personnes candidates Icons/ArrowRetour à la liste Marie Josée DUBÉ Équipe Anjou Conseillère ou conseiller d'arrondissement Ouest Présentation de la personne candidate Angevine depuis 11 ans, j'ai été charmée par la chaleur humaine à Anjou. Contribuer à la vie communautaire me stimule. Ce que j'aime de la politique municipale, c'est la proximité avec les gens. Engagée, dynamique et à l'écoute, j'essaie d'accompagner les citoyens le mieux possible. Chacun de leurs appels est important et mérite une réponse. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Forte de mon premier mandat, j'aimerais continuer à être au service des citoyens. L'arrivée du métro ainsi que plusieurs beaux projets à venir dans notre arrondissement m'offriront de nouveaux défis que j'aimerais relever. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Maintenir la qualité des services offerts aux citoyens en cherchant toujours à s'améliorer. L'agrandissement et l'amélioration majeure de la bibliothèque du Haut-Anjou, l'aménagement d'un sentier et le prolongement de pistes cyclables déjà existantes Quelles sont les deux principales priorités de la personne candidate? La sécurité, la propreté Et mettre en place des moyens écoresponsables plus écologiques Quel est le lieu préféré de la personne candidate à Montréal? L'environnement bucolique du parc Anjou-sur-le-lac Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Simon DUBOIS,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Simon DUBOIS Profil des personnes candidates Icons/ArrowRetour à la liste Simon DUBOIS Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Saint-Édouard facebook instagram site courriel Présentation de la personne candidate Citoyen engagé et habitant de La Petite-Patrie, j'ai une formation en science politique. Je milite depuis des années pour la justice sociale et environnementale. J'ai d'ailleurs cofondé le mouvement La planète s'invite à l'université qui a mobilisé 500 000 personnes dans la rue pour l'environnement en 2019. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? On a besoin d'un représentant qui habite notre quartier. Nos intérêts méritent d'être entendus à l'hôtel de ville. Je serai disponible et accessible. Je vais entretenir une relation de confiance et égalitaire avec la population de Saint-Edouard. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Nous faisons face à des crises sans précédent qui sont trop souvent ignorées. Pour améliorer la qualité de vie des Montréalais-es, notamment dans mon quartier, je vais défendre des solutions justes et audacieuses comme taxer les ultrariches. Quelles sont les deux principales priorités de la personne candidate? La crise du logement et de l'itinérance. La mobilité douce, juste et durable. Quel est le lieu préféré de la personne candidate à Montréal? Le centre d'escalade Bloc Shop Mile-Ex. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Pascal DUBOIS,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Pascal DUBOIS Profil des personnes candidates Icons/ArrowRetour à la liste Pascal DUBOIS Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Norman-McLaren courriel Présentation de la personne candidate Je suis conseiller de la recherche et innovation pour l'université Concordia qui ai décidé de me lancer en politique municipale afin de faire vivre des idées de distibutions. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Parce que nous vivons de multiples crises et je souhaite aider à les résoudre. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Il nous fait bondir encore davantage notre ville et taxes les plus hauts revenues et patrimoines afin de permettre à tous et toutes de survivre sur ce territoire. Quelles sont les deux principales priorités de la personne candidate? L'environnement et le logement social. Quel est le lieu préféré de la personne candidate à Montréal? Le canal Lachine Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Laurie DUPUIS,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Laurie DUPUIS Profil des personnes candidates Icons/ArrowRetour à la liste Laurie DUPUIS Ensemble Montréal - Équipe Soraya Conseillère ou conseiller d'arrondissement Pointe-aux-Trembles facebook instagram site courriel Présentation de la personne candidate Féministe engagée et militante pour la justice sociale, Laurie Dupuis souhaite rapprocher la politique municipale des jeunes et des citoyen·nes. Résidente de Pointe-aux-Trembles, elle veut construire un arrondissement inclusif, équitable et tourné vers l’avenir. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Assurer une gestion financière rigoureuse et efficace Mieux soutenir nos organismes communautaires, favoriser le développement des commerces de proximité Quel est le lieu préféré de la personne candidate à Montréal? Rivière-des-Prairies—Pointe-aux-Trembles Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
André DUSSAULT,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link André DUSSAULT Profil des personnes candidates Icons/ArrowRetour à la liste André DUSSAULT Ensemble Montréal - Équipe Soraya Conseillère ou conseiller d'arrondissement Desmarchais-Crawford Présentation de la personne candidate Dirigeant en communications stratégiques, André Dussault vit à Verdun depuis des années. Expert en transformation organisationnelle, il veut améliorer la sécurité, le déneigement et les parcs. Son objectif : mettre son expérience au service d’un quartier plus accessible et vivant. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Renforcer la présence policière pour réduire les méfaits et assurer la tranquillité des rues. Soutenir nos commerces locaux en facilitant l’accès universel. Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Jean DUVAL,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Jean DUVAL Profil des personnes candidates Icons/ArrowRetour à la liste Jean DUVAL Indépendant(e) Mairesse ou maire de la ville facebook courriel Présentation de la personne candidate Mon parcours, l'hôtellerie, fonctionnaire aux transports, entrepreneur avec CD-ROM Entrepôt et la Banque d'annonces ABC, également représentant d'assurances pour La Capitale, la Métropolitaine et Allstate. Je suis un vétéran! A obtenu de l'UQAM une attestation de la chaire de management McDonald Stewart en entreprenariat, commanditaire de régates. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je propose aux Montréalais d'élire un maire indépendant pour faire travailler les partis ensemble car ce n'est pas vrai qu'ils ont tous faux ou tous vrai, il faut trancher, ça se fait surtout dans des villes en région mais on doit le faire à Montréal Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Rebâtir Expo 67 version 2.0. Les caméras corporelles sur les policiers pour sécuriser les citoyens et la propreté et le ramassage des ordures à la semaine, installer 3 bateaux de croisière usagés sur le flan de l'île Sainte-Hélène; itinérance Quelles sont les deux principales priorités de la personne candidate? Crises du logement et de l'itinérance et la corruption systémique dans l'administration municipale. Munir les policiers du SPVM de caméras corporelles qui va aider à diminuer les manifestations et bris. Quel est le lieu préféré de la personne candidate à Montréal? Sur le fleuve en voilier face au Vieux-Montréal. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
James ÉBONGUÉ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link James ÉBONGUÉ Profil des personnes candidates Icons/ArrowRetour à la liste James ÉBONGUÉ Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Cecil-P.-Newman site courriel Présentation de la personne candidate Avocat engagé pour ma communauté, je désire être un intermédiaire entre la population et l’arrondissement, et encourager l’implication des Montréalais dans la vie démocratique Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Pour faire en sorte que les besoins et les priorités des Montréalais(e)s soient entendus, respectés et intégrés dans les décisions politiques qui touchent leur vie quotidienne. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Avec davantage de logements sociaux et abordables, et en améliorant la fréquence et l’accessibilité du transport en commun, surtout dans les secteurs mal desservis Quelles sont les deux principales priorités de la personne candidate? Transport et mobilité, Sécurité et propreté, Économie locale et emploi Quel est le lieu préféré de la personne candidate à Montréal? Le fleuve Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Arij EL KORBI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Arij EL KORBI Profil des personnes candidates Icons/ArrowRetour à la liste Arij EL KORBI Ensemble Montréal - Équipe Soraya Conseillère ou conseiller de ville Saint-Léonard-Est x facebook instagram site courriel Présentation de la personne candidate Conseillère d’arrondissement élue en 2021, je me présente comme candidate à la Ville avec Ensemble Montréal. Née à Montréal et résidente de Saint-Léonard depuis plus de 25 ans, je défends la diversité, la jeunesse et l’inclusion, avec une vision humaine, transparente et tournée vers des solutions concrètes. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je veux continuer à servir les citoyens avec proximité et authenticité. Mon objectif : porter la voix de Saint-Léonard à l’Hôtel de Ville et bâtir un Montréal plus fort, plus équitable et plus à l’écoute des réalités locales. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En misant sur des infrastructures modernes, des quartiers sécuritaires, des espaces verts accessibles et une gouvernance transparente. Je veux que chaque citoyen sente que Montréal agit concrètement pour sa qualité de vie. Quelles sont les deux principales priorités de la personne candidate? a) Protéger Saint-Léonard des inondations et moderniser le collecteur Langelier. b) Mettre en place des mesures durables contre les eaux de pluie. c) Renforcer la sécurité et le sentiment d’appartenance dans les quartiers. d) Créer de vrais milieux de vie autour de la ligne bleue. e) Apaiser la circulation, surtout près des écoles. f) Réparer les rues et nids-de-poule plus rapidement. g) Améliorer les trottoirs pour des déplacements sûrs pour tous. Quel est le lieu préféré de la personne candidate à Montréal? Le parc Wilfrid-Bastien — cœur vert et rassembleur de Saint-Léonard. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Rima EL-CHEIKH,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Rima EL-CHEIKH Profil des personnes candidates Icons/ArrowRetour à la liste Rima EL-CHEIKH Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller de ville Tétreaultville Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Brenda ESPINAL HERNANDEZ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Brenda ESPINAL HERNANDEZ Profil des personnes candidates Icons/ArrowRetour à la liste Brenda ESPINAL HERNANDEZ Futur Montréal Conseillère ou conseiller d'arrondissement Marie-Clarac linkedIn facebook instagram courriel Présentation de la personne candidate Je suis Brenda Espinal gestionnaire de territoire expérimentée en développement d'affaires et accompagnement de partenaires. Je souhaite mettre mes compétences en communication équité et transparence au service des citoyens de l'arrondissement. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite représenter les Montréalais pour défendre leurs intérêts de façon transparente et équitable, être à l'écoute de leurs besoins quotidiens et travailler à améliorer la qualités de vie dans nos quartiers grâce à des solutions concrète. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En favorisant l'accès à des services de proximité efficaces en soutenant des initiatives locales durables et inclusives, et en travaillant à rendre nos quartiers plus sécuritaires accessibles et vivant pour tous. Quelles sont les deux principales priorités de la personne candidate? Logement abordable : encourager des projets qui respectent la diversité et les besoins réels des familles. Sécurité et qualité de vie: rendre nos rues et parcs plus sécuritaires et mieux entretenus. Quel est le lieu préféré de la personne candidate à Montréal? Parc-nature de l'île-de la visitation Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Victor ESPOSITO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Victor ESPOSITO Profil des personnes candidates Icons/ArrowRetour à la liste Victor ESPOSITO Ensemble Montréal - Équipe Soraya Conseillère ou conseiller de ville Saint-Sulpice Présentation de la personne candidate Né et élevé à Montréal, Victor Esposito est un leader passionné par sa communauté. Avec ses 15 ans d’expérience en affaires et en politique fédérale, il veut revitaliser Saint-Sulpice, soutenir l’entrepreneuriat local et améliorer la mobilité. Multilingue et engagé, il mettra son expertise au service des citoyens. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Revitaliser nos quartiers et redonner de l’énergie à nos artères commerciales. Investir dans les parcs,verts, installations communautaires et solutions novatrices climatiques. Quel est le lieu préféré de la personne candidate à Montréal? Ahuntsic-Cartierville ! Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Beatrice ETHIER,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Beatrice ETHIER Profil des personnes candidates Icons/ArrowRetour à la liste Beatrice ETHIER Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller d'arrondissement Ouest courriel Présentation de la personne candidate Quand j'adopte une idée, que je tiens, il y a personne qui m'arrête. Tenace et battante de mes convictions, je mets tout pour arriver mes buts. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je trouve qu'il y a un manque flagrant d'implication. C'est facile de se plaindre mais difficile de faire le pas pour changer les choses. Je suis là pour mettre mon grain de sel! Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En suivant les idéaux du parti Action Montréal, ensemble nous changerons la situation. Quelles sont les deux principales priorités de la personne candidate? L'itinérance, trafic (travaux publics). Ville agréable, sécurité accrue. Quel est le lieu préféré de la personne candidate à Montréal? Anjou Ouest Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Ludovic FERMELY,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Ludovic FERMELY Profil des personnes candidates Icons/ArrowRetour à la liste Ludovic FERMELY Ensemble Montréal - Équipe Soraya Conseillère ou conseiller d'arrondissement J.-Émery-Provost Présentation de la personne candidate Franco-Canadien installé à Montréal depuis 15 ans, Ludovic Fermely est psychologue et directeur du Centre multi-ressources de Lachine. Engagé pour le bien-être collectif, la justice sociale et l’inclusion, il se distingue par son écoute, sa présence sur le terrain et sa capacité à mobiliser et créer des liens. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Giselle FERNANDEZ MOLINA,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Giselle FERNANDEZ MOLINA Profil des personnes candidates Icons/ArrowRetour à la liste Giselle FERNANDEZ MOLINA Futur Montréal Conseillère ou conseiller de ville Tétreaultville facebook courriel Présentation de la personne candidate Je suis une femme persévérante et bienveillante. Mère de trois enfants et ancienne biochimiste travaillant en milieu académique, j'ai décidé de changer de domaine vers les finances. Cela m'a donné l'opportunité d'être plus proche de l'humain, de ses besoins, d'aider les gens à se développer. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Ce sera un privilège et une grande responsabilité d'être la voix des citoyens de mon quartier. Ma mission sera celle de transmettre leurs préoccupations que sont aussi les miennes, en allant de la fréquence de la collecte de déchets. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En proposant des actions concrètes pour améliorer l'accès à des logements abordables (en stimulant la construction de ceux-ci). Je prévois aussi de m'attaquer au problème de l'itinérance en consolidant un plan de réinsertion social. Quelles sont les deux principales priorités de la personne candidate? L'accès au logement: abordabilité pour les locataires; accès pour les futurs propriétaires. L'itinérance et la sécurité publique. Les services aux familles. Quel est le lieu préféré de la personne candidate à Montréal? Le pont Jacques-Cartier et sa vue nocturne sur la grandiose ville de Montréal. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
