cand_name,complete_text
Bisma ANSARI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Bisma ANSARI Profil des personnes candidates Icons/ArrowRetour à la liste Bisma ANSARI Équipe LaSalle Team Conseillère ou conseiller d'arrondissement Cecil-P.-Newman linkedIn instagram Présentation de la personne candidate Je suis Bisma Ansari, dirigeante d’entreprise depuis 20 ans et engagée dans la communauté depuis plus de 10 ans. Fière d’élever ma famille à LaSalle, je souhaite mettre mon expérience au service de la protection des espaces verts, du soutien aux familles et du renforcement de notre communauté : Avec vous pour LaSalle. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Immigrante, mère et Montréalaise fière d’avoir choisi LaSalle, je veux mettre mon expérience en leadership et en engagement au service de l’Hôtel de Ville pour que chaque résident se sente entendu, valorisé et impliqué dans l’avenir. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En mettant mon expérience au service de quartiers sûrs et bien desservis, en soutenant les familles et les jeunes, et en favorisant le développement économique local, tout en renforçant les initiatives qui protègent l’environnement. Quelles sont les deux principales priorités de la personne candidate? Quartiers sûrs et inclusifs, avec des espaces verts protégés. Soutien au développement économique local et durable. Quel est le lieu préféré de la personne candidate à Montréal? Parc des Rapide, LaSalle. La nature au bord de l’eau. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Pascal ANTONIN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Pascal ANTONIN Profil des personnes candidates Icons/ArrowRetour à la liste Pascal ANTONIN Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller d'arrondissement De Lorimier courriel Présentation de la personne candidate Montréalais d'adoption depuis 20 ans. Artiste auteur-compositeur-interprète. Engagé et soucieux de la vie en société Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Apporter mon expérience, ma vision pour le bien-être des citoyens, améliorer la vie et le confort de chacun. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Aller à la rencontre des habitants et des commerçants, sonder leurs besoins en terme de circulation, de propreté et de sécurité en vue d'un avenir radieux Quelles sont les deux principales priorités de la personne candidate? Circulation, sécurité, rayonnement de la ville Salubrité, commodités, approvisionnement Quel est le lieu préféré de la personne candidate à Montréal? Plateau Mont-Royal - Place des Arts Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Caroline ARSLANIAN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Caroline ARSLANIAN Profil des personnes candidates Icons/ArrowRetour à la liste Caroline ARSLANIAN Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Sainte-Geneviève linkedIn facebook instagram courriel Présentation de la personne candidate Je suis née, élevée et réside à Montréal, dans l'Ouest-de-l'Île, dans la circonscription de l'Île-Bizard Sainte-Geneviève.J’ai toujours été passionnée par la culture, la communauté et le rassemblement des gens. Parfaitement bilingue français-anglais et polyglotte, je parle plusieurs langues, dont le mandarin. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Combinant son amour des communications, de la prise de parole en public, du développement communautaire et de l'engagement politique, j’ai la vision de contribuer à l'amélioration de la ville. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Faire de Sainte-Geneviève un endroit où toutes les générations et toutes les familles peuvent se sentir chez elles. Quelles sont les deux principales priorités de la personne candidate? Donnez un peu d'amour à Sainte-Geneviève en modernisant les parcs et en créant une belle ville Quel est le lieu préféré de la personne candidate à Montréal? Mon quartier ou le Vieux-Port de Montréal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Benoit AUGER,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Benoit AUGER Profil des personnes candidates Icons/ArrowRetour à la liste Benoit AUGER Équipe LaSalle Team Conseillère ou conseiller d'arrondissement Sault-Saint-Louis linkedIn facebook instagram site courriel Présentation de la personne candidate Conseiller à LaSalle depuis 2021, je suis engagé depuis plus de 40 ans dans le Bronx, où je combine entrepreneuriat et action communautaire. Propriétaire de Rayko Coiffure, je reste proche des citoyens. Actif dans plusieurs comités, je défends une politique de proximité, inclusive et tournée vers la mobilité durable. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Citoyen engagé et commerçant, j'ai mené une mobilisation locale marquante. Je veux élargir cette dynamique à LaSalle, valoriser l'inclusion, la proximité et le rôle des citoyens, commerçants et organismes dans la construction d'un avenir commun. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Améliorer la qualité de vie à LaSalle passe par la sécurité, le transport collectif, le logement abordable et le soutien aux organismes communautaires, pour bâtir une ville inclusive, accessible et adaptée à la croissance démographique. Quelles sont les deux principales priorités de la personne candidate? La sécurisation du transport actif Prévenir les enjeux d'itinérance naissante Quel est le lieu préféré de la personne candidate à Montréal? Le parc des Rapides pour la richesse de sa faune et de sa flore Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Yosef AZZOUNI,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Yosef AZZOUNI Profil des personnes candidates Icons/ArrowRetour à la liste Yosef AZZOUNI Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Sault-Saint-Louis Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Abdellah AZZOUZ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Abdellah AZZOUZ Profil des personnes candidates Icons/ArrowRetour à la liste Abdellah AZZOUZ Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Saint-Léonard-Est x instagram courriel Présentation de la personne candidate Je m’appelle Abdellah Azzouz. Depuis 2016, je m’implique dans le milieu communautaire et, depuis 2020, j’agis comme intervenant auprès des jeunes, des familles et des personnes en situation d’itinérance, avec la volonté de bâtir une communauté plus solidaire et équitable. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je veux représenter les Montréalais·es pour défendre leurs priorités, soutenir les jeunes, les familles et les plus vulnérables, et bâtir une ville plus juste, solidaire et inclusive. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En renforçant la solidarité, en soutenant les jeunes et les familles, en luttant contre l’itinérance et en favorisant des quartiers plus sécuritaires, inclusifs et accessibles pour tous. Quelles sont les deux principales priorités de la personne candidate? Un Montréal plus fort : centres communautaires, tolérance et entraide. Quel est le lieu préféré de la personne candidate à Montréal? Les parcs, les terrains de soccer et les cafés Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Clément BADRA,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Clément BADRA Profil des personnes candidates Icons/ArrowRetour à la liste Clément BADRA Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Snowdon linkedIn facebook instagram courriel Présentation de la personne candidate Implanté depuis près de 10 ans à Côte-des-Neiges, Clément a multiplié les engagements dans l’environnement, le communautaire et la Ville. Porté par sa passion pour l’inclusion et l’entraide, il veut continuer d’accompagner les résidents et mettre son expertise au service d’un Snowdon solidaire et vivant. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je m’engage en politique pour bâtir une ville inclusive et solidaire. Fort de mon expertise en environnement, communautaire et municipal, et de mon vécu de personne tétraplégique, je veux être un élu proche, à l’écoute et engagé pour toutes et tous. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En misant sur l’inclusion, le logement et la transition écologique. Je veux soutenir les organismes, verdir nos quartiers, favoriser l’accessibilité universelle et être un élu de proximité, disponible, à l’écoute des citoyennes et citoyens Quelles sont les deux principales priorités de la personne candidate? L’habitation, l’itinérance, l’adaptation aux changements climatiques et l’accessibilité universelle Quel est le lieu préféré de la personne candidate à Montréal? l'oratoire St-Joseph au coucher de soleil Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Amina BAHRI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Amina BAHRI Profil des personnes candidates Icons/ArrowRetour à la liste Amina BAHRI Équipe St-Léonard Conseillère ou conseiller d'arrondissement Saint-Léonard-Est courriel Présentation de la personne candidate Native d'Algérie, j'ai vécu une immigration à l'âge adulte qui m'a permis d'offir à ma fille un nouvel environnement et je suis aujourd'hui fière d'être québécoise et canadienne. J'ai travaillé depuis mon arrivée et j'étudie encore aujourd'hui pour redonner à la société le meilleur de moi-même. Enseigner aux enfants est un privilège que je vise Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je suis une personne dynamique et sensible aux besoins et aux difficultés vécues par de nombreuses familles. J'ai eu la chance de vivre une expérience d'intégration positive, je veux porter cette voix dont les citoyen.nes ont besoin. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Appuyer des projets, qui respectent la communauté léonardoise faire une place à l'écoute des besoins et répondre aux préoccupations de tous nos citoyens. Bâtir des ponts entre le différentes communautés pour n'en créer qu'une seule, forte et prospère Quelles sont les deux principales priorités de la personne candidate? Services aux citoyens : simplifier la vie des familles, des ainés et impliquer les citoyens Protéger: S'assurer que nos valeurs communes, notre culture et nos besoins communautaires soient au coeur des décisions. Quel est le lieu préféré de la personne candidate à Montréal? Le parc Delorme, j'aime partager avec les italiens, les maghrébins et que toutes les générations s'y côtoient. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Alain BAKAYOKO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Alain BAKAYOKO Profil des personnes candidates Icons/ArrowRetour à la liste Alain BAKAYOKO Projet Montréal - Équipe Luc Rabouin Mairesse ou maire de l'arrondissement Outremont linkedIn facebook instagram site courriel Présentation de la personne candidate Alain Bakayoko est un expert en développement économique et innovation sociale, avec 15 ans d’expérience dans le secteur public, l’entrepreneuriat et les milieux communautaires. Membre actif à Outremont, il agit pour une cohabitation harmonieuse et des solutions concrètes aux enjeux locaux. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Pour mettre son expertise et son engagement au service des résident·es, faire avancer des solutions concrètes et inclusives, et construire ensemble un Outremont plus sécuritaire, écologique et dynamique. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En agissant pour la propreté, la sécurité des déplacements, l’accès au logement, la transition écologique et le vivre-ensemble, tout en renforçant la participation citoyenne et la transparence démocratique. Quelles sont les deux principales priorités de la personne candidate? Propreté, logement, mobilité sécuritaire, climat, vivre-ensemble et participation citoyenne. Quel est le lieu préféré de la personne candidate à Montréal? Le Sommet Outremont du Mont-Royal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Nzelo BAMBA,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Nzelo BAMBA Profil des personnes candidates Icons/ArrowRetour à la liste Nzelo BAMBA Futur Montréal Conseillère ou conseiller de ville Hochelaga Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
